Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
inflatable-clown,test Inflatable Clown suff,,Rubie's Costume Co.,Costumes,"std, costumes, inflatable, clown, ",TRUE,Title,Inflatable Clown,,,,,,,shopify,,deny,manual,24.74,32.99,True,TRUE,82686389044,,,,,,,,,,,,,,,,,,,,,,
gorilla,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,44.99,59.99,True,TRUE,82686140515,,,,,,,,,,,,,,,,,,,,,,
alien,test Alien  suff,,Disguise Inc.,Costumes,"med, 7-8, costumes, alien, med, (7-8), ",TRUE,Size,7-8,,,,,,,shopify,,deny,manual,18.74,24.99,True,TRUE,32692126171,,,,,,,,,,,,,,,,,,,,,,
killer-clown,test Killer Clown suff,,Fun World,Costumes,"large, costumes, killer, clown, lg, ",TRUE,Size,Large,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,71765046596,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja,test Dark Raven Ninja  suff,,Disguise Inc.,Costumes,"sm, 4-6, costumes, dark, raven, ninja, sm, (4-6), ",TRUE,Size,4-6,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,32692053361,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja,,,,,,TRUE,,7-8,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,32692053378,,,,,,,,,,,,,,,,,,,,,,
viper-ninja,test Viper Ninja  suff,,Disguise Inc.,Costumes,"med, 7-8, costumes, red, viper, ninja, med, (7-8), ",TRUE,Size,7-8,Color,RED,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,32692053477,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle,test Roc Snake Eye Muscle  suff,,Disguise Inc.,Costumes,"sm, 4-6, costumes, roc, snake, eye, muscle, sm, (4-6), ",TRUE,Size,4-6,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,32692037262,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle,,,,,,TRUE,,7-8,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,32692037279,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle,,,,,,TRUE,,10-12,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,39897425689,,,,,,,,,,,,,,,,,,,,,,
