Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
gorilla,,,,,,TRUE,,Med,,,,,,,,,,,44.99,59.99,TRUE,TRUE,82686140515,,,,,,,,,,,,,,,,,,,,,,
alien-,,,,,,TRUE,,,,,,,,,,,,,18.74,24.99,TRUE,TRUE,32692126171,,,,,,,,,,,,,,,,,,,,,,
killer-clown,Killer Clown,,Fun World,Costumes,"killer, clown, lg, large, costumes, ",TRUE,Size,Lg,,,,,,,,,,,29.99,39.99,TRUE,TRUE,71765046596,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja-,Dark Raven Ninja ,,Disguise Inc.,Costumes,"dark, raven, ninja, sm, (4-6), sm, 4-6, costumes, ",TRUE,Size,,,,,,,,,,,,22.49,29.99,TRUE,TRUE,32692053361,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja-,,,,,,TRUE,,,,,,,,,,,,,22.49,29.99,TRUE,TRUE,32692053378,,,,,,,,,,,,,,,,,,,,,,
viper-ninja-,Viper Ninja ,,Disguise Inc.,Costumes,"red, viper, ninja, med, (7-8), med, 7-8, costumes, ",TRUE,Size,,Color,RED,,,,,,,,,29.99,39.99,TRUE,TRUE,32692053477,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle-,Roc Snake Eye Muscle ,,Disguise Inc.,Costumes,"roc, snake, eye, muscle, sm, (4-6), sm, 4-6, costumes, ",TRUE,Size,,,,,,,,,,,,29.99,39.99,TRUE,TRUE,32692037262,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle-,,,,,,TRUE,,,,,,,,,,,,,29.99,39.99,TRUE,TRUE,32692037279,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle-,,,,,,TRUE,,,,,,,,,,,,,29.99,39.99,TRUE,TRUE,39897425689,,,,,,,,,,,,,,,,,,,,,,
optimus-prime-muscle-,Optimus Prime Muscle ,,Disguise Inc.,Costumes,"optimus, prime, muscle, sm, (4-6), sm, 4-6, costumes, ",TRUE,Size,,,,,,,,,,,,29.99,39.99,TRUE,TRUE,39897735177,,,,,,,,,,,,,,,,,,,,,,
