Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
army-brat,Girls Army Brat Costume,,Fun World,Costumes,"army, brat, sm, costumes, ",,Size,Small,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,71765032599,,,,,,,,,,,,,,,,,,,,,,
strawberry-sweetie,Girls Strawberry Sweetie Costume,,Leg Avenue Inc.,Costumes,"strawberry, sweetie, sm, costumes, ",,Size,Small,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
kandy-korn-witch,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
bluebelle-fairy,Girls Bluebelle Fairy Costume,,Fun World,Costumes,"bluebelle, fairy, lg, costumes, ",,Size,Large,Color,BLUE,,,,,shopify,0,deny,manual,33.74,44.99,True,,71765027489,,,,,,,,,,,,,,,,,,,,,,
golden-pirate,Girls Golden Pirate Costume,,Fun World,Costumes,"golden, pirate, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765001519,,,,,,,,,,,,,,,,,,,,,,
army-brat,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,71765032605,,,,,,,,,,,,,,,,,,,,,,
aye-aye-capt,Girls Aye Aye Capt  Costume,,Leg Avenue Inc.,Costumes,"aye, aye, capt, lg, 10-12, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
kandy-korn-witch,,,,,,,,Small,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
bluebelle-fairy,,,,,,,,Medium,,BLUE,,,,,shopify,0,deny,manual,33.74,44.99,True,,71765027472,,,,,,,,,,,,,,,,,,,,,,
goth-maiden-vamp,Girls Goth Maiden Vamp Costume,,Fun World,Costumes,"goth, maiden, vamp, lg, costumes, ",,Size,Large,,,,,,,shopify,1,deny,manual,26.24,34.99,True,,23168259875,,,,,,,,,,,,,,,,,,,,,,
merida,Girls Merida  Costume,,Disguise Inc.,Costumes,"merida, 4-6, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,24.74,32.99,True,,39897436012,,,,,,,,,,,,,,,,,,,,,,
army-brat,,,,,,,,Large,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,71765032612,,,,,,,,,,,,,,,,,,,,,,
funky-punky-bones,Girls Funky Punky Bones Costume,,Fun World,Costumes,"funky, punky, bones, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,28.49,37.99,True,,71765047616,,,,,,,,,,,,,,,,,,,,,,
aye-aye-capt,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
lil'-miss,Girls Lil' Miss Costume,,Leg Avenue Inc.,Costumes,"lil', miss, red, lg, costumes, ",,Size,Large,Color,RED,,,,,shopify,1,deny,manual,24.74,32.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
bluebelle-fairy,,,,,,,,Small,,BLUE,,,,,shopify,0,deny,manual,33.74,44.99,True,,71765027465,,,,,,,,,,,,,,,,,,,,,,
goth-maiden-vamp,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,23168159878,,,,,,,,,,,,,,,,,,,,,,
lovely-ladybug,,,,,,,,Large,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765004176,,,,,,,,,,,,,,,,,,,,,,
funky-punky-bones,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765047609,,,,,,,,,,,,,,,,,,,,,,
buzzy-bee,Girls Buzzy Bee Costume,,Leg Avenue Inc.,Costumes,"buzzy, bee, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
lil'-miss,,,,,,,,Medium,,RED,,,,,shopify,0,deny,manual,24.74,32.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
bobby-soxer,Girls Bobby Soxer Costume,,Fun World,Costumes,"bobby, soxer, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,20.99,27.99,True,,23168287977,,,,,,,,,,,,,,,,,,,,,,
minnie-mouse,Girls Minnie Mouse  Costume,,Disguise Inc.,Costumes,"minnie, mouse, 4-6, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,24.74,32.99,True,,32692503668,,,,,,,,,,,,,,,,,,,,,,
funky-punky-bones,,,,,,,,Small,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765028295,,,,,,,,,,,,,,,,,,,,,,
buzzy-bee,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
lil'-miss,,,,,,,,Small,,RED,,,,,shopify,1,deny,manual,24.74,32.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
bobby-soxer,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,20.99,27.99,True,,23168187970,,,,,,,,,,,,,,,,,,,,,,
goth-maiden-vamp,,,,,,,,Small,,,,,,,shopify,1,deny,manual,26.24,34.99,True,,23168059871,,,,,,,,,,,,,,,,,,,,,,
minnie-mouse,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,39897189246,,,,,,,,,,,,,,,,,,,,,,
stitch-witch,Girls Stitch Witch Costume,,Fun World,Costumes,"stitch, witch, sm, costumes, ",,Size,Small,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,23168059888,,,,,,,,,,,,,,,,,,,,,,
snow-leopard,Girls Snow Leopard Costume,,Fun World,Costumes,"snow, leopard, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,37.49,49.99,True,,71765052559,,,,,,,,,,,,,,,,,,,,,,
buzzy-bee,,,,,,,,Small,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
little-leopard,Girls Little Leopard Costume,,Leg Avenue Inc.,Costumes,"little, leopard, lg, costumes, ",,Size,Large,,,,,,,shopify,1,deny,manual,28.49,37.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
buccaneer-girl,Girls Buccaneer Girl  Costume,,Fun World,Costumes,"buccaneer, girl, 4-6, costumes, ",,,Apr,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,23168058898,,,,,,,,,,,,,,,,,,,,,,
goth-maiden-witch,,,,,,,,Large,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,23168259998,,,,,,,,,,,,,,,,,,,,,,
stitch-witch,,,,,,,,Large,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,23168259882,,,,,,,,,,,,,,,,,,,,,,
snow-leopard,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,37.49,49.99,True,,71765052542,,,,,,,,,,,,,,,,,,,,,,
circus-clown,Girls Circus Clown Costume,,Leg Avenue Inc.,Costumes,"circus, clown, med, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,29.99,39.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
little-leopard,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,28.49,37.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
butterfly-princess,Girls Butterfly Princess Costume,,Fun World,Costumes,"butterfly, princess, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,71765029414,,,,,,,,,,,,,,,,,,,,,,
goth-maiden-witch,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,23168159991,,,,,,,,,,,,,,,,,,,,,,
sprkng-spiderella,Girls Sprkng Spiderella Costume,,Fun World,Costumes,"sprkng, spiderella, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,23168158833,,,,,,,,,,,,,,,,,,,,,,
poodle-skirt-child-std,Girls Poodle Skirt Child Std Costume,,Amscan,Costumes,"poodle, skirt, child, std, costumes, ",,Size,Child,,,,,,,shopify,4,deny,manual,14.99,19.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
lil-witch-child,Girls Lil Witch Child Costume,,Amscan,Costumes,"lil, witch, child, lg, costumes, ",,Size,Large,,,,,,,shopify,1,deny,manual,11.24,14.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
lil-riding-hood-child,Girls Lil Riding Hood Child Costume,,Amscan,Costumes,"lil, red, riding, hood, child, med, costumes, ",,Size,Medium,Color,RED,,,,,shopify,1,deny,manual,26.24,34.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
cleopatra-child,Girls Cleopatra Child Costume,,Amscan,Costumes,"cleopatra, child, med, costumes, ",,Size,Medium,,,,,,,shopify,3,deny,manual,29.99,39.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
cleopatra-child,,,,,,,,Large,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
ballerina-bee,Girls Ballerina Bee  Costume,,Amscan,Costumes,"ballerina, bee, 4-6, costumes, ",,,Bllrna Be Sm,,,,,,,shopify,3,deny,manual,22.49,29.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
forest-pixie,Girls Forest Pixie Costume,,Rubie's Costume Co.,Costumes,"forest, pixie, med, costumes, ",,Size,Medium,,,,,,,shopify,1,deny,manual,17.24,22.99,True,,82686187572,,,,,,,,,,,,,,,,,,,,,,
pirate-lass,Girls Pirate Lass  Costume,,Disguise Inc.,Costumes,"pirate, lass, sm, (4-6), costumes, ",,Size,4-6,,,,,,,shopify,1,deny,manual,26.24,34.99,True,,32692920861,,,,,,,,,,,,,,,,,,,,,,
minnie-mouse,,,,,,,,Large,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,39897364759,,,,,,,,,,,,,,,,,,,,,,
stitch-witch,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,23168159885,,,,,,,,,,,,,,,,,,,,,,
circus-clown,,,,,,,,Small,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
little-leopard,,,,,,,,Small,,,,,,,shopify,1,deny,manual,28.49,37.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
butterfly-princess,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,71765029407,,,,,,,,,,,,,,,,,,,,,,
greek-goddess,Girls Greek Goddess Costume,,Fun World,Costumes,"greek, goddess, lg, costumes, ",,Size,Large,,,,,,,shopify,2,deny,manual,26.24,34.99,True,,71765006262,,,,,,,,,,,,,,,,,,,,,,
sprkng-spiderella,,,,,,,,Small,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,23168058836,,,,,,,,,,,,,,,,,,,,,,
sock-monkey-girl,Girls Sock Monkey Girl  Costume,,Disguise Inc.,Costumes,"sock, monkey, girl, lg, (10-12), costumes, ",,Size,10-12,,,,,,,shopify,2,deny,manual,19.99,34.99,True,,39897383361,,,,,,,,,,,,,,,,,,,,,,
pink-minnie-mouse,Girls Pink Minnie Mouse  Costume,,Disguise Inc.,Costumes,"pink, minnie, mouse, sm, (4-6x), costumes, ",,Size,4-6X,,,,,,,shopify,0,deny,manual,24.74,32.99,True,,39897189239,,,,,,,,,,,,,,,,,,,,,,
cinderella-classic,Girls Cinderella Classic  Costume,,Disguise Inc.,Costumes,"cinderella, classic, sm, (4-6x), costumes, ",,Size,4-6X,,,,,,,shopify,2,deny,manual,19.99,36.99,True,,39897870571,,,,,,,,,,,,,,,,,,,,,,
minnie-tween,Girls Minnie Tween  Costume,,Disguise Inc.,Costumes,"red, minnie, tween, lg, (10-12), costumes, ",,Size,10-12,Color,RED,,,,,shopify,0,deny,manual,29.99,39.99,True,,98973647599,,,,,,,,,,,,,,,,,,,,,,
cinderella-classic,,,,,,,,7-8,,,,,,,shopify,2,deny,manual,19.99,36.99,True,,39897870588,,,,,,,,,,,,,,,,,,,,,,
cheerless-leader,Girls Cheerless Leader  Costume,,Disguise Inc.,Costumes,"cheerless, leader, med, (7-8), costumes, ",,Size,7-8,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,32692280279,,,,,,,,,,,,,,,,,,,,,,
cheerless-leader,,,,,,,,10-12,,,,,,,shopify,2,deny,manual,29.99,39.99,True,,32692280200,,,,,,,,,,,,,,,,,,,,,,
anna-deluxe,Girls Anna Deluxe  Costume,,Disguise Inc.,Costumes,"anna, deluxe, sm, (4-6x), costumes, ",,Size,4-6X,,,,,,,shopify,3,deny,manual,32.24,42.99,True,,39897570068,,,,,,,,,,,,,,,,,,,,,,
anna-coronation,Girls Anna Coronation  Costume,,Disguise Inc.,Costumes,"anna, coronation, dlx, sm, (4-6x), costumes, ",,Size,4-6X,,,,,,,shopify,2,deny,manual,32.24,42.99,True,,39897769097,,,,,,,,,,,,,,,,,,,,,,
