Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
but-mommy...grow-up,Man's But Mommy...Grow Up  Costume,,Disguise Inc.,Costumes,"but, mommy...grow, up, xl, (42-46), costumes, ",,Size,42-46,,,,,,,shopify,0,deny,manual,44.9925,59.99,True,,32692130017,,,,,,,,,,,,,,,,,,,,,,
caddyshack-carl-spackler-adult,Man's Caddyshack Carl Spackler Adult Costume,,Rasta Imposta,Costumes,"caddyshack, carl, spackler, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,33.7425,44.99,True,,791249468309,,,,,,,,,,,,,,,,,,,,,,
capt-america-adult,Man's Capt America Adult Costume,,Disguise Inc.,Costumes,"capt, america, xl, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,67.4925,89.99,True,,39897436883,,,,,,,,,,,,,,,,,,,,,,
capt-america-xxl-adult,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,67.4925,89.99,True,,39897436890,,,,,,,,,,,,,,,,,,,,,,
captain-america-std,Man's Captain America Std Costume,,Rubie's Costume Co.,Costumes,"captain, america, std, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,47.24,62.99,True,,883028045495,,,,,,,,,,,,,,,,,,,,,,
captain-america,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,47.24,62.99,True,,883028045501,,,,,,,,,,,,,,,,,,,,,,
captain-blackheart-adult,,,,,,,,Std,,BLACK,,,,,shopify,0,deny,manual,37.4925,49.99,True,,23168054074,,,,,,,,,,,,,,,,,,,,,,
captain-condom-adult,,,,,,,,Medium,,,,,,,shopify,6,deny,manual,29.9925,39.99,True,,721773509704,,,,,,,,,,,,,,,,,,,,,,
cassanova-adult,Man's Cassanova Adult Costume,,Fun World,Costumes,"cassanova, adult, costumes, ",,,Std,,,,,,,shopify,6,deny,manual,29.9925,39.99,True,,23168014450,,,,,,,,,,,,,,,,,,,,,,
chef-bopitiboop-std,Man's Chef Bopitiboop Std Costume,,Rubie's Costume Co.,Costumes,"chef, bopitiboop, std, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,20.9925,27.99,True,,883028964703,,,,,,,,,,,,,,,,,,,,,,
chicken-adult,Man's Chicken Adult Costume,,Rubie's Costume Co.,Costumes,"chicken, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,74.9925,99.99,True,,82686016230,,,,,,,,,,,,,,,,,,,,,,
chinese-gentleman-std-adult,Man's Chinese Gentleman Std Adult Costume,,Forum Novelties Inc,Costumes,"chinese, gentleman, std, adult, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,28.4925,37.99,True,,721773643323,,,,,,,,,,,,,,,,,,,,,,
class-nerd-adult,Man's Class Nerd Adult Costume,,Forum Novelties Inc,Costumes,"class, nerd, adult, costumes, ",,,Std,,,,,,,shopify,2,deny,manual,29.9925,39.99,True,,721773616952,,,,,,,,,,,,,,,,,,,,,,
clown-adult,Man's Clown Adult Costume,,Rubie's Costume Co.,Costumes,"clown, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,14.9925,19.99,True,,82686550239,,,,,,,,,,,,,,,,,,,,,,
clown-on-the-town-adult,,,,,,,,Std,,,,,,,shopify,2,deny,manual,29.9925,39.99,True,,721773621703,,,,,,,,,,,,,,,,,,,,,,
coca-cola-can-adult,Man's Coca Cola Can Adult Costume,,Rasta Imposta,Costumes,"coca, cola, can, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,32.2425,42.99,True,,791249449100,,,,,,,,,,,,,,,,,,,,,,
comical-cow-adult,Man's Comical Cow Adult Costume,,Rubie's Costume Co.,Costumes,"comical, cow, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,82686152259,,,,,,,,,,,,,,,,,,,,,,
complete-zombie-adult,Man's Complete Zombie Adult Costume,,Fun World,Costumes,"complete, zombie, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,37.4925,49.99,True,,23168011114,,,,,,,,,,,,,,,,,,,,,,
count-drunkula-adult,Man's Count Drunkula Adult Costume,,Fun World,Costumes,"count, drunkula, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,22.4925,29.99,True,,71765030007,,,,,,,,,,,,,,,,,,,,,,
cowardly-lion-adult,Man's Cowardly Lion Adult Costume,,Rubie's Costume Co.,Costumes,"cowardly, lion, adult, costumes, ",,,Std,,,,,,,shopify,2,deny,manual,37.4925,49.99,True,,82686154765,,,,,,,,,,,,,,,,,,,,,,
cowboy-adult-std,Man's Cowboy Adult Std Costume,,Fun World,Costumes,"cowboy, adult, std, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,37.4925,49.99,True,,23168054395,,,,,,,,,,,,,,,,,,,,,,
crypt-keeper-plus-adult,Man's Crypt Keeper Plus Adult Costume,,Amscan,Costumes,"crypt, keeper, plus, adult, costumes, ",,,Plus,,,,,,,shopify,3,deny,manual,39.99,65.1,True,,809801730136,,,,,,,,,,,,,,,,,,,,,,
