Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
inflatable-clown,Boys Inflatable Clown Costume,,Rubie's Costume Co.,Costumes,"costumes, inflatable, clown, ",,,Std,,,,,,,shopify,2,deny,manual,24.74,32.99,True,,82686389044,,,,,,,,,,,,,,,,,,,,,,
gorilla,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,44.99,59.99,True,,82686140515,,,,,,,,,,,,,,,,,,,,,,
alien,,,,,,,,7-8,,,,,,,shopify,2,deny,manual,18.74,24.99,True,,32692126171,,,,,,,,,,,,,,,,,,,,,,
killer-clown,Boys Killer Clown Costume,,Fun World,Costumes,"costumes, killer, clown, lg, ",,Size,Large,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765046596,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja,Boys Dark Raven Ninja  Costume,,Disguise Inc.,Costumes,"costumes, dark, raven, ninja, sm, (4-6), ",,Size,4-6,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,32692053361,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja,,,,,,,,7-8,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,32692053378,,,,,,,,,,,,,,,,,,,,,,
viper-ninja,Boys Viper Ninja  Costume,,Disguise Inc.,Costumes,"costumes, red, viper, ninja, med, (7-8), ",,Size,7-8,Color,RED,,,,,shopify,0,deny,manual,29.99,39.99,True,,32692053477,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle,Boys Roc Snake Eye Muscle  Costume,,Disguise Inc.,Costumes,"costumes, roc, snake, eye, muscle, sm, (4-6), ",,Size,4-6,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,32692037262,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle,,,,,,,,7-8,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,32692037279,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle,,,,,,,,10-12,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,39897425689,,,,,,,,,,,,,,,,,,,,,,
optimus-prime-muscle,Boys Optimus Prime Muscle  Costume,,Disguise Inc.,Costumes,"costumes, optimus, prime, muscle, sm, (4-6), ",,Size,4-6,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,39897735177,,,,,,,,,,,,,,,,,,,,,,
optimus-prime-muscle,,,,,,,,7-8,,,,,,,shopify,2,deny,manual,29.99,39.99,True,,39897735153,,,,,,,,,,,,,,,,,,,,,,
wolverine-muscle,Boys Wolverine Muscle  Costume,,Disguise Inc.,Costumes,"costumes, wolverine, muscle, med, (7-8), ",,Size,7-8,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,32692055570,,,,,,,,,,,,,,,,,,,,,,
fire-dragon-ninja-child,Boys Fire Dragon Ninja Child Costume,,Amscan,Costumes,"costumes, fire, dragon, ninja, child, sm, ",,Size,Small,,,,,,,shopify,2,deny,manual,18.74,24.99,True,,809801702881,,,,,,,,,,,,,,,,,,,,,,
fire-dragoin-ninja-child,,,,,,,,Medium,,,,,,,shopify,3,deny,manual,18.74,24.99,True,,809801703062,,,,,,,,,,,,,,,,,,,,,,
fire-dragoin-ninja-child,,,,,,,,Large,,,,,,,shopify,5,deny,manual,18.74,24.99,True,,809801703055,,,,,,,,,,,,,,,,,,,,,,
fang-child,Boys Fang Child  Costume,,Amscan,Costumes,"costumes, fang, child, med, 8-10, ",,Size,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,809801702836,,,,,,,,,,,,,,,,,,,,,,
fang-child,,,,,,,,Large,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,809801702843,,,,,,,,,,,,,,,,,,,,,,
dark-vampire-child,Boys Dark Vampire Child Costume,,Amscan,Costumes,"costumes, dark, vampire, child, sm, ",,Size,Small,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,809801731799,,,,,,,,,,,,,,,,,,,,,,
dark-vampire-child,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,809801731669,,,,,,,,,,,,,,,,,,,,,,
brave-crusader-ch,Boys Brave Crusader Ch Costume,,Amscan,Costumes,"costumes, brave, crusader, ch, med, ",,Size,Medium,,,,,,,shopify,3,deny,manual,26.24,34.99,True,,809801723770,,,,,,,,,,,,,,,,,,,,,,
brave-crusader-ch,,,,,,,,Large,,,,,,,shopify,4,deny,manual,26.24,34.99,True,,809801723763,,,,,,,,,,,,,,,,,,,,,,
grey-werewolf,Boys Grey Werewolf Costume,,Fun World,Costumes,"costumes, grey, werewolf, medium, ",,Size,Medium,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,23168158130,,,,,,,,,,,,,,,,,,,,,,
grey-werewolf,,,,,,,,Large,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,23168258137,,,,,,,,,,,,,,,,,,,,,,
brown-werewolf,Boys Brown Werewolf Costume,,Fun World,Costumes,"costumes, brown, werewolf, med, ",,Size,Medium,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,23168128133,,,,,,,,,,,,,,,,,,,,,,
brown-werewolf,,,,,,,,Large,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,23168228130,,,,,,,,,,,,,,,,,,,,,,
werewolf,Boys Werewolf Costume,,Fun World,Costumes,"costumes, black, werewolf, med, ",,Size,Medium,Color,BLACK,,,,,shopify,0,deny,manual,33.74,44.99,True,,23168558138,,,,,,,,,,,,,,,,,,,,,,
uncle-sam,Boys Uncle Sam Costume,,Forum Novelties Inc,Costumes,"costumes, uncle, sam, sm, ",,Size,Small,,,,,,,shopify,4,deny,manual,11.24,14.99,True,,400000505626,,,,,,,,,,,,,,,,,,,,,,
lab-coat-child,Boys Lab Coat Child Costume,,Fun World,Costumes,"costumes, lab, coat, child, ",,Size,Child,,,,,,,shopify,0,deny,manual,14.99,19.99,True,,23168058492,,,,,,,,,,,,,,,,,,,,,,
