item-description,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,shopify,Variant Inventory Qty,deny,manual,Variant Price,Variant Compare At Price,True,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
sweetheart-monster-t,,,,,,,,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,714718465180,,,,,,,,,,,,,,,,,,,,,,
lil'-bumble-bee-m,Baby Lil' Bumble Bee M Costume,,Fun World,Costumes,"costumes, lil', bumble, bee, 12-24m, ",,Size,Medium,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,23168096531,,,,,,,,,,,,,,,,,,,,,,
winnie-the-pooh-m,Baby Winnie The Pooh M Costume,,Disguise Inc.,Costumes,"costumes, winnie, the, pooh, 12-18m, ",,,M,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,32692657910,,,,,,,,,,,,,,,,,,,,,,
tootsie-roll-m,,,,,,,,M,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,79124900404,,,,,,,,,,,,,,,,,,,,,,
giggling-elmo,,,,,,,,Medium,,,,,,,shopify,,deny,manual,37.4925,49.99,True,,32692659259,,,,,,,,,,,,,,,,,,,,,,
precious-panda-t,,,,,,,,T,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,714718465227,,,,,,,,,,,,,,,,,,,,,,
rainbow-fairy-infant--mo,Baby Rainbow Fairy Infant  Mo Costume,,Amscan,Costumes,"costumes, rainbow, fairy, infant, 12-24, mo, ",,Size,Medium,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,809801731430,,,,,,,,,,,,,,,,,,,,,,
batman-toddler,,,,,,,,Medium,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,883028158935,,,,,,,,,,,,,,,,,,,,,,
little-lamb-infant--mo,,,,,,,,Medium,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,809801735346,,,,,,,,,,,,,,,,,,,,,,
little-leopard-t,,,,,,,,T,,,,,,,shopify,,deny,manual,28.49,37.99,True,,714718427577,,,,,,,,,,,,,,,,,,,,,,
olaf-months,Baby Olaf Months Costume,,Disguise Inc.,Costumes,"costumes, olaf, 12-18months, ",,,Months,,,,,,,shopify,,deny,manual,41.2425,54.99,True,,39897852577,,,,,,,,,,,,,,,,,,,,,,
olaf-tt,Baby Olaf TT Costume,,Disguise Inc.,Costumes,"costumes, olaf, 3t-4t, ",,,TT,,,,,,,shopify,,deny,manual,29.99,39.99,True,,39897846545,,,,,,,,,,,,,,,,,,,,,,
olaf-t,Baby Olaf T Costume,,Disguise Inc.,Costumes,"costumes, olaf, 2t, ",,,T,,,,,,,shopify,,deny,manual,41.2425,54.99,True,,39897846736,,,,,,,,,,,,,,,,,,,,,,
pretty-kitty-t,,,,,,,,T,,,,,,,shopify,,deny,manual,28.49,37.99,True,,714718510750,,,,,,,,,,,,,,,,,,,,,,
pretty-kitty-tt,,,,,,,,T,,,,,,,shopify,,deny,manual,28.49,37.99,True,,714718510767,,,,,,,,,,,,,,,,,,,,,,
lambie,Baby Lambie  Costume,,Disguise Inc.,Costumes,"costumes, lambie, sm, (2t), ",,Size,2T,,,,,,,shopify,,deny,manual,29.99,39.99,True,,39897698113,,,,,,,,,,,,,,,,,,,,,,
lambie-t,,,,,,,,Small,,,,,,,shopify,,deny,manual,29.99,39.99,True,,39897698106,,,,,,,,,,,,,,,,,,,,,,
lambie-t,,,,,,,,Medium,,,,,,,shopify,,deny,manual,29.99,39.99,True,,39897698083,,,,,,,,,,,,,,,,,,,,,,
batman-dark-knight-toddler,,,,,,,,Medium,,,,,,,shopify,,deny,manual,16.4925,21.99,True,,883028158928,,,,,,,,,,,,,,,,,,,,,,
mickey-mouse-infant-mo,,,,,,,,Medium,,,,,,,shopify,,deny,manual,28.49,37.99,True,,39897449616,,,,,,,,,,,,,,,,,,,,,,
rapunzel-classic-t,Baby Rapunzel Classic T Costume,,Disguise Inc.,Costumes,"costumes, rapunzel, classic, 3-4t, ",,,Xs TT,,,,,,,shopify,,deny,manual,24.74,32.99,True,,39897592008,,,,,,,,,,,,,,,,,,,,,,
little-linebacker-t,,,,,,,,T,,,,,,,shopify,,deny,manual,11.24,14.99,True,,809801746786,,,,,,,,,,,,,,,,,,,,,,
fireman-infant-mo,Baby Fireman Infant Mo Costume,,Amscan,Costumes,"costumes, fireman, infant, 0-6mo, ",,Size,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,,809801771603,,,,,,,,,,,,,,,,,,,,,,
miss-matched-witch-t,Baby Miss Matched Witch T Costume,,Forum Novelties Inc,Costumes,"costumes, miss, matched, witch, 3-4t, ",,Size,Medium,,,,,,,shopify,,deny,manual,28.49,37.99,True,,809801736251,,,,,,,,,,,,,,,,,,,,,,
curious-george-t,Baby Curious George T Costume,,Rubie's Costume Co.,Costumes,"costumes, curious, george, 4-6t, ",,,T,,,,,,,shopify,,deny,manual,20.99,27.99,True,,883028528653,,,,,,,,,,,,,,,,,,,,,,
elmo-plush-+,Baby Elmo Plush + Costume,,Disguise Inc.,Costumes,"costumes, elmo, plush, 3+, ",,Size,Medium,,,,,,,shopify,,deny,manual,37.4925,49.99,True,,39897768762,,,,,,,,,,,,,,,,,,,,,,
curious-george-t,,,,,,,,T,,,,,,,shopify,,deny,manual,20.99,27.99,True,,883028528639,,,,,,,,,,,,,,,,,,,,,,
football-player-mo,Baby Football Player Mo Costume,,Rubie's Costume Co.,Costumes,"costumes, football, player, 0-9mo, ",,, Mp,,,,,,,shopify,,deny,manual,20.24,26.99,True,,883028549405,,,,,,,,,,,,,,,,,,,,,,
fireman-infant,,,,,,,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,,809801762441,,,,,,,,,,,,,,,,,,,,,,
fireman-infant,,,,,,,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,,809801771610,,,,,,,,,,,,,,,,,,,,,,
captain-jake-+,Baby Captain Jake + Costume,,Disguise Inc.,Costumes,"costumes, captain, jake, 3+, ",,,+,,,,,,,shopify,,deny,manual,24.74,32.99,True,,39897863825,,,,,,,,,,,,,,,,,,,,,,
