item-description,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,shopify,Variant Inventory Qty,deny,manual,Variant Price,Variant Compare At Price,True,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
elsa-deluxe-xs,Baby Elsa Deluxe Xs  Costume,,Disguise Inc.,Costumes,"costumes, elsa, deluxe, xs, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,32.2425,42.99,True,,39897569987,,,,,,,,,,,,,,,,,,,,,,
woody-delux-child-xs,Baby Woody Delux Child Xs  Costume,,Disguise Inc.,Costumes,"costumes, woody, delux, child, xs, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,32692523451,,,,,,,,,,,,,,,,,,,,,,
jake,,,,,,,,4-6x,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,39897417561,,,,,,,,,,,,,,,,,,,,,,
mickey-mouse,,,,,,,,4-6x,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,32692502760,,,,,,,,,,,,,,,,,,,,,,
snow-white-infant,,,,,,,,12-18months,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,32692048718,,,,,,,,,,,,,,,,,,,,,,
spider-man--muscle,,,,,,,,3T-4T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897729992,,,,,,,,,,,,,,,,,,,,,,
elsa-snow-queen-gown-xs,Baby Elsa Snow Queen Gown Xs  Costume,,Disguise Inc.,Costumes,"costumes, elsa, snow, queen, gown, xs, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897769073,,,,,,,,,,,,,,,,,,,,,,
super-why,,,,,,,,3T-4T,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,32692720553,,,,,,,,,,,,,,,,,,,,,,
jake,,,,,,,,2T,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,39897417547,,,,,,,,,,,,,,,,,,,,,,
minnie-mouse-infant-pink,,,,,,,,Medium,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,39897113982,,,,,,,,,,,,,,,,,,,,,,
abby-cadabby-classic,,,,,,,,2T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,32692691440,,,,,,,,,,,,,,,,,,,,,,
tinkerbell-classic-xs,Baby Tinkerbell Classic Xs  Costume,,Disguise Inc.,Costumes,"costumes, tinkerbell, classic, xs, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,26.2425,34.99,True,,39897591001,,,,,,,,,,,,,,,,,,,,,,
sofia-classic,,,,,,,,3T-4T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897567204,,,,,,,,,,,,,,,,,,,,,,
doc-classic,,,,,,,,3T-4T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897590875,,,,,,,,,,,,,,,,,,,,,,
minnie-mouse-classic-xs,,,,,,,,3T-4T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,32692503651,,,,,,,,,,,,,,,,,,,,,,
mickey-mouse-infant,,,,,,,,12-18 mo,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,32692548911,,,,,,,,,,,,,,,,,,,,,,
little-lamb-infant-mo.,Baby Little Lamb Infant Mo. Costume,,Amscan,Costumes,"costumes, little, lamb, infant, 6mo., ",,Size,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,809801735292,,,,,,,,,,,,,,,,,,,,,,
pink-minnie-mouse-xs,,,,,,,,3T-4T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897189222,,,,,,,,,,,,,,,,,,,,,,
buzzy-bumblebee-m,Baby Buzzy Bumblebee M Costume,,Disguise Inc.,Costumes,"costumes, buzzy, bumblebee, 12-18m, ",,Size,Medium,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,32692454915,,,,,,,,,,,,,,,,,,,,,,
bitty-bones-mo.,Baby Bitty Bones Mo. Costume,,Amscan,Costumes,"costumes, bitty, bones, 12-18mo., ",,,,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,809801735094,,,,,,,,,,,,,,,,,,,,,,
