Item Number,Item Name,Item Description,Brief Description,Attribute,Size,Regular Price,MSRP,UPC,Department Name,Vendor Name,Qty 1,Custom Field 1,,,,,,,
22190,CHINESE GENTLEMAN STD ADULT,CHINESE GENTLEMAN STD ADULT,,MEN,STD,28.4925,37.99,0721773643323,COSTUMES,FORUM NOVELTIES INC,2,64332,,,,,,,
20524,CLASS NERD ADULT,CLASS NERD ADULT,,MEN,STD,29.9925,39.99,0721773616952,COSTUMES,FORUM NOVELTIES INC,2,61695,,,,,,,
19027,CLOWN ADULT,CLOWN ADULT,,MEN,STD,14.9925,19.99,0082686550239,COSTUMES,RUBIE'S COSTUME CO.,0,55023,,,,,,,
20531,CLOWN ON THE TOWN ADULT,CLOWN ON THE TOWN ADULT,,MEN,STD,29.9925,39.99,0721773621703,COSTUMES,FORUM NOVELTIES INC,2,62170,,,,,,,
20755,COCA COLA CAN ADULT,COCA COLA CAN ADULT,,MEN,STD,32.2425,42.99,0791249449100,COSTUMES,RASTA IMPOSTA,0,4491,,,,,,,
22122,COMICAL COW ADULT,COMICAL COW ADULT,,MEN,STD,29.9925,39.99,0082686152259,COSTUMES,RUBIE'S COSTUME CO.,0,15225,,,,,,,
19567,COMPLETE ZOMBIE ADULT,COMPLETE ZOMBIE ADULT,,MEN,STD,37.4925,49.99,0023168011114,COSTUMES,FUN WORLD,0,1111,,,,,,,
22240,COUNT DRUNKULA ADULT,COUNT DRUNKULA ADULT,,MEN,STD,22.4925,29.99,0071765030007,COSTUMES,FUN WORLD,0,90184,,,,,,,
22123,COWARDLY LION ADULT,COWARDLY LION ADULT,,MEN,STD,37.4925,49.99,0082686154765,COSTUMES,RUBIE'S COSTUME CO.,2,15476,,,,,,,
19579,COWBOY ADULT STD,COWBOY ADULT STD,,MEN,STD,37.4925,49.99,0023168054395,COSTUMES,FUN WORLD,0,5439,,,,,,,
23156,CRYPT KEEPER PLUS ADULT,CRYPT KEEPER PLUS ADULT,,MEN,PLUS,39.99,65.1,0809801730136,COSTUMES,AMSCAN,3,840292,,,,,,,
20758,D&D HARRY BLUE TUXEDO ADULT,D&D HARRY BLUE TUXEDO ADULT,,MEN,STD,59.9925,79.99,0791249492700,COSTUMES,RASTA IMPOSTA,0,4927,,,,,,,
20759,D&D LLOYD ORANGE TUXEDO ADULT,D&D LLOYD ORANGE TUXEDO ADULT,,MEN,STD,59.9925,79.99,0791249492809,COSTUMES,RASTA IMPOSTA,0,4928,,,,,,,
22124,DARTH VADER ADULT,DARTH VADER ADULT,,MEN,STD,29.9925,39.99,0082686166126,COSTUMES,RUBIE'S COSTUME CO.,3,16612,,,,,,,
19886,DISAPPEARING DAY OF THE DEAD,DISAPPEARING DAY OF THE DEAD,,MEN,STD,37.4925,49.99,0721773734632,COSTUMES,FORUM NOVELTIES INC,3,73463,,,,,,,
1950,DISAPPEARING MAN BLACK,DISAPPEARING MAN BLACK,,MEN,STD,29.9925,39.99,0721773674792,COSTUMES,FORUM NOVELTIES INC,2,67479,,,,,,,
1949,DISAPPEARING MAN BLACK XL,DISAPPEARING MAN BLACK XL,,MEN,XL,29.9925,39.99,0721773689550,COSTUMES,FORUM NOVELTIES INC,1,68955,,,,,,,
1945,DISAPPEARING MAN BLUE,DISAPPEARING MAN BLUE,,MEN,STD,29.9925,39.99,0721773674815,COSTUMES,FORUM NOVELTIES INC,2,67481,,,,,,,
1946,DISAPPEARING MAN BLUE XL,DISAPPEARING MAN BLUE XL,,MEN,XL,29.9925,39.99,0721773689574,COSTUMES,FORUM NOVELTIES INC,0,68957,,,,,,,
22927,DISAPPEARING MAN GID,DISAPPEARING MAN GID,,MEN,STD,33.74,44.99,0721773720741,COSTUMES,FORUM NOVELTIES INC,1,72074,,,,,,,
1943,DISAPPEARING MAN GREEN,DISAPPEARING MAN GREEN,,MEN,STD,29.9925,39.99,0721773674808,COSTUMES,FORUM NOVELTIES INC,3,67480,,,,,,,
1944,DISAPPEARING MAN GREEN XL,DISAPPEARING MAN GREEN XL,,MEN,XL,29.9925,39.99,0721773689567,COSTUMES,FORUM NOVELTIES INC,1,68956,,,,,,,
1947,DISAPPEARING MAN RED,DISAPPEARING MAN RED,,MEN,STD,29.9925,39.99,0721773674822,COSTUMES,FORUM NOVELTIES INC,2,67482,,,,,,,
1948,DISAPPEARING MAN RED XL,DISAPPEARING MAN RED XL,,MEN,XL,29.9925,39.99,0721773689581,COSTUMES,FORUM NOVELTIES INC,0,68958,,,,,,,
