Item Name,Item Description,Brief Description,Attribute,Size,Regular Price,MSRP,UPC,Department Name,Vendor Name,Inventory,Vendor Item Number,,,,,,,
ABBY CADABBY MED (3T-4T),ABBY CADABBY MED (3T-4T),,BABY,MED 3T-4T,24.7425,32.99,0032692691457,COSTUMES,DISGUISE INC.,1,6914M-I,,,,,,,
ANNA DELUXE XS (3T-4T),ANNA DELUXE XS (3T-4T),,BABY,XS 3T-4T,32.2425,42.99,0039897570051,COSTUMES,DISGUISE INC.,1,57005M,,,,,,,
SOFIA CLASSIC LG (4-6X),SOFIA CLASSIC LG (4-6X),,BABY,LG 4-6X,24.7425,32.99,0039897567211,COSTUMES,DISGUISE INC.,1,56699L,,,,,,,
DOC CLASSIC LG (4-6x),DOC CLASSIC LG (4-6x),,BABY,LG 4-6x,24.7425,32.99,0039897590882,COSTUMES,DISGUISE INC.,2,59084L,,,,,,,
MINNIE MOUSE INFANT (12-18 mo),MINNIE MOUSE INFANT (12-18 mo),,BABY,12-18 mo.,20.9925,27.99,0032692153900,COSTUMES,DISGUISE INC.,1,5390W-I,,,,,,,
PINK MINNIE MOUSE XXS (2T),PINK MINNIE MOUSE XXS (2T),,BABY,XXS (2T),24.7425,32.99,0039897189215,COSTUMES,DISGUISE INC.,0,18921S,,,,,,,
ANNA CORONATION DLX XS (3T-4T),ANNA CORONATION DLX XS (3T-4T),,BABY,XS (3T-4T),32.2425,42.99,0039897769103,COSTUMES,DISGUISE INC.,2,76909M,,,,,,,
ELMO INFANT PLUSH (12-18months),ELMO INFANT PLUSH (12-18months),,BABY,12-18months,37.4925,49.99,0032692582519,COSTUMES,DISGUISE INC.,1,5825W-I,,,,,,,
SOFIA CLASSIC SM (2T),SOFIA CLASSIC SM (2T),,BABY,SM 2T,24.7425,32.99,0039897566993,COSTUMES,DISGUISE INC.,1,56699S,,,,,,,
DOC CLASSIC SM (2T),DOC CLASSIC SM (2T),,BABY,SM 2T,24.7425,32.99,0039897590844,COSTUMES,DISGUISE INC.,1,59084S,,,,,,,
ELSA DELUXE XS (3T-4T),ELSA DELUXE XS (3T-4T),,BABY,XS 3T-4T,32.2425,42.99,0039897569987,COSTUMES,DISGUISE INC.,1,56998M,,,,,,,
WOODY DELUX CHILD XS (3T-4T),WOODY DELUX CHILD XS (3T-4T),,BABY,XS 3T-4T,29.9925,39.99,0032692523451,COSTUMES,DISGUISE INC.,0,5234M-I,,,,,,,
JAKE DLX LG (4-6x),JAKE DLX LG (4-6x),,BABY,LG 4-6x,29.9925,39.99,0039897417561,COSTUMES,DISGUISE INC.,0,41754L,,,,,,,
MICKEY MOUSE DLX SM (4-6x),MICKEY MOUSE DLX SM (4-6x),,BABY,SM 4-6x,29.9925,39.99,0032692502760,COSTUMES,DISGUISE INC.,1,5027L-I,,,,,,,
SNOW WHITE INFANT (12-18months),SNOW WHITE INFANT (12-18months),,BABY,12-18months,18.7425,24.99,0032692048718,COSTUMES,DISGUISE INC.,2,50487W-I,,,,,,,
SPIDER-MAN 2 MUSCLE MED (3T-4T),SPIDER-MAN 2 MUSCLE MED (3T-4T),,BABY,MED 3T-4T,24.7425,32.99,0039897729992,COSTUMES,DISGUISE INC.,0,72999M,,,,,,,
ELSA SNOW QUEEN GOWN XS (3T-4T),ELSA SNOW QUEEN GOWN XS (3T-4T),,BABY,XS 3T-4T,24.7425,32.99,0039897769073,COSTUMES,DISGUISE INC.,2,76906M,,,,,,,
SUPER WHY MED (3T-4T),SUPER WHY MED (3T-4T),,BABY,MED 3T-4T,20.9925,27.99,0032692720553,COSTUMES,DISGUISE INC.,1,7205M-I,,,,,,,
JAKE DLX SM (2T),JAKE DLX SM (2T),,BABY,SM 2T,29.9925,39.99,0039897417547,COSTUMES,DISGUISE INC.,0,41754S,,,,,,,
MINNIE MOUSE INFANT PINK,MINNIE MOUSE INFANT PINK,,BABY,12-18 mo.,18.7425,24.99,0039897113982,COSTUMES,DISGUISE INC.,0,11398W,,,,,,,
ABBY CADABBY CLASSIC SM (2T),ABBY CADABBY CLASSIC SM (2T),,BABY,SMALL 2T,24.7425,32.99,0032692691440,COSTUMES,DISGUISE INC.,1,6914S-I,,,,,,,
TINKERBELL CLASSIC XS (3T-4T),TINKERBELL CLASSIC XS (3T-4T),,BABY,XS 3T-4T,26.2425,34.99,0039897591001,COSTUMES,DISGUISE INC.,0,59100M,,,,,,,
SOFIA CLASSIC MED (3T-4T),SOFIA CLASSIC MED (3T-4T),,BABY,MED 3T-4T,24.7425,32.99,0039897567204,COSTUMES,DISGUISE INC.,2,56699M,,,,,,,
DOC CLASSIC MED (3T-4T),DOC CLASSIC MED (3T-4T),,BABY,MED 3T-4T,24.7425,32.99,0039897590875,COSTUMES,DISGUISE INC.,2,59084M,,,,,,,
MINNIE MOUSE CLASSIC XS (3T-4T),MINNIE MOUSE CLASSIC XS (3T-4T),,BABY,XS 3T-4T,24.7425,32.99,0032692503651,COSTUMES,DISGUISE INC.,2,5036M-I,,,,,,,
MICKEY MOUSE INFANT (12-18 mo),MICKEY MOUSE INFANT (12-18 mo),,BABY,12-18 mo.,20.9925,27.99,0032692548911,COSTUMES,DISGUISE INC.,0,5489W-I,,,,,,,
LITTLE LAMB INFANT 6mo.,LITTLE LAMB INFANT 6mo.,,BABY,LITTLE LAMB,22.4925,29.99,0809801735292,COSTUMES,AMSCAN,1,842801,,,,,,,
PINK MINNIE MOUSE XS (3T-4T),PINK MINNIE MOUSE XS (3T-4T),,BABY,XS (3T-4T),24.7425,32.99,0039897189222,COSTUMES,DISGUISE INC.,0,18921M,,,,,,,
BUZZY BUMBLEBEE 12-18m,BUZZY BUMBLEBEE 12-18m,,BABY,12-18m,20.9925,27.99,0032692454915,COSTUMES,DISGUISE INC.,0,4549W,,,,,,,
BITTY BONES 12-18mo.,BITTY BONES 12-18mo.,,BABY,12-18,14.9925,19.99,0809801735094,COSTUMES,AMSCAN,1,842810,,,,,,,
SNOW WHITE SPARKLE SM,SNOW WHITE SPARKLE SM,,BABY,,19.99,32.99,0039897591612,COSTUMES,DISGUISE INC.,2,59160L,,,,,,,
MONKEY AROUND INFANT 12-18 MO,MONKEY AROUND INFANT 12-18 MO,,BABY,,29.9925,39.99,0809801731874,COSTUMES,AMSCAN,3,841591,,,,,,,
CANDY CORN TREAT INFANT,CANDY CORN TREAT INFANT,,BABY,INFANT,18.7425,24.99,0809801722643,COSTUMES,AMSCAN,3,841840,,,,,,,
ANIMAL LARGE,ANIMAL LARGE,,BABY,LARGE,22.4925,29.99,0883028004737,COSTUMES,RUBIE'S COSTUME CO.,0,610072,,,,,,,
COWBOY 6-12,COWBOY 6-12,,BABY,6-12,17.2425,22.99,0883028000029,COSTUMES,RUBIE'S COSTUME CO.,0,510002,,,,,,,
ANIMAL MEDIUM,ANIMAL MEDIUM,,BABY,MEDIUM,22.4925,29.99,0883028004720,COSTUMES,RUBIE'S COSTUME CO.,0,610072,,,,,,,
WORKS FOR PEANUTS INFANT,WORKS FOR PEANUTS INFANT,,BABY,INFANT,14.9925,19.99,0082686812153,COSTUMES,RUBIE'S COSTUME CO.,0,81215,,,,,,,
DOGGONE CUTE 12-18m,DOGGONE CUTE 12-18m,,BABY,12-18m,14.9925,19.99,0039897135656,COSTUMES,DISGUISE INC.,0,13565W,,,,,,,
ELMO 2T,ELMO 2T,,BABY,2T,37.4925,49.99,0032692563341,COSTUMES,DISGUISE INC.,1,5633S,,,,,,,
PALACE PRINCESS TODDLER,PALACE PRINCESS TODDLER,,BABY,TODDLER,17.2425,22.99,0883028207237,COSTUMES,RUBIE'S COSTUME CO.,2,882072,,,,,,,
GREEN DINO 12-18,GREEN DINO 12-18,,BABY,12-18,17.2425,22.99,0883028150656,COSTUMES,RUBIE'S COSTUME CO.,1,881506,,,,,,,
PUMPKIN TUTU DRESS 6-9,PUMPKIN TUTU DRESS 6-9,,BABY,6-9,12.7425,16.99,0883028517879,COSTUMES,RUBIE'S COSTUME CO.,1,885178,,,,,,,
T/T THE BATMAN TODDLER,T/T THE BATMAN TODDLER,,BABY,TODDLER,17.2425,22.99,0883028809332,COSTUMES,RUBIE'S COSTUME CO.,0,888093,,,,,,,
PRETTY WITCH TODDLER,PRETTY WITCH TODDLER,,BABY,TODDLER,28.4925,37.99,0883028315536,COSTUMES,RUBIE'S COSTUME CO.,2,883155,,,,,,,
TUTU FAIRY TODDLER,TUTU FAIRY TODDLER,,BABY,TODDLER,24.7425,32.99,0883028151639,COSTUMES,RUBIE'S COSTUME CO.,1,881516,,,,,,,
ROBIN INFANT,ROBIN INFANT,,BABY,INFANT,14.9925,19.99,0883028520923,COSTUMES,RUBIE'S COSTUME CO.,0,885209,,,,,,,
TEENY MEANY 6-12,TEENY MEANY 6-12,,BABY,6-12,22.4925,29.99,0883028150342,COSTUMES,RUBIE'S COSTUME CO.,1,881503,,,,,,,
ELMO DLX 3-4,ELMO DLX 3-4,,BABY,3-4,37.4925,49.99,0032692563358,COSTUMES,DISGUISE INC.,0,5633M,,,,,,,
LAVENDER PRINCESS TODDLER,LAVENDER PRINCESS TODDLER,,BABY,TODDLER,22.4925,29.99,0883028271238,COSTUMES,RUBIE'S COSTUME CO.,1,882712,,,,,,,
LIL' DOC TODDLER,LIL' DOC TODDLER,,BABY,TODDLER,12.7425,16.99,0883028562633,COSTUMES,RUBIE'S COSTUME CO.,1,885626,,,,,,,
PINKY WINKY MONSTER 12-18,PINKY WINKY MONSTER 12-18,,BABY,12-18,22.4925,29.99,0883028150458,COSTUMES,RUBIE'S COSTUME CO.,0,881504,,,,,,,
TEENY MEANY 12-18,TEENY MEANY 12-18,,BABY,12-18,22.4925,29.99,0883028150359,COSTUMES,RUBIE'S COSTUME CO.,1,881503,,,,,,,
SHARK O/S,SHARK O/S,,BABY,O/S,11.2425,14.99,0883028539505,COSTUMES,RUBIE'S COSTUME CO.,0,885395,,,,,,,
SUPERMAN INFANT,SUPERMAN INFANT,,BABY,INFANT,17.2425,22.99,0883028562329,COSTUMES,RUBIE'S COSTUME CO.,1,885623,,,,,,,
DRAGON/DINOSAUR INFANT,DRAGON/DINOSAUR INFANT,,BABY,INFANT,17.2425,22.99,0883028533923,COSTUMES,RUBIE'S COSTUME CO.,0,885339,,,,,,,
RODEO PRINCESS TODDLER,RODEO PRINCESS TODDLER,,BABY,TODDLER,17.2425,22.99,0883028269136,COSTUMES,RUBIE'S COSTUME CO.,3,882691,,,,,,,
BATMAN TODDLER,BATMAN TODDLER,,BABY,TODDLER,17.2425,22.99,0883028544233,COSTUMES,RUBIE'S COSTUME CO.,0,885442,,,,,,,
SUPERMAN TODDLER,SUPERMAN TODDLER,,BABY,TODDLER,17.2425,22.99,0883028562336,COSTUMES,RUBIE'S COSTUME CO.,0,885623,,,,,,,
DARTH VADER TODDLER,DARTH VADER TODDLER,,BABY,TODDLER,18.7425,24.99,0883028826032,COSTUMES,RUBIE'S COSTUME CO.,0,888260,,,,,,,
SCOOBY DOO INFANT,SCOOBY DOO INFANT,,BABY,INFANT,14.9925,19.99,0082686118347,COSTUMES,RUBIE'S COSTUME CO.,0,11834,,,,,,,
BATMAN DLX DK TODDLER,BATMAN DLX DK TODDLER,,BABY,TODDLER,26.2425,34.99,0883028129034,COSTUMES,RUBIE'S COSTUME CO.,0,881290,,,,,,,
CLIFFORD TODDLER,CLIFFORD TODDLER,,BABY,TODDLER,17.2425,22.99,0883028211036,COSTUMES,RUBIE'S COSTUME CO.,0,882110,,,,,,,
ROBIN TODDLER,ROBIN TODDLER,,BABY,TODDLER,14.9925,19.99,0883028520930,COSTUMES,RUBIE'S COSTUME CO.,2,885209,,,,,,,
TOOTSIE ROLL BUNTING,TOOTSIE ROLL BUNTING,,BABY,BUNTING,20.9925,27.99,0791249400408,COSTUMES,RASTA IMPOSTA,0,4004,,,,,,,
SPONGEBOB TODDLER,SPONGEBOB TODDLER,,BABY,TODDLER,22.4925,29.99,0883028317639,COSTUMES,RUBIE'S COSTUME CO.,0,883176,,,,,,,
FUTURE TROOPER 3-4t,FUTURE TROOPER 3-4t,,BABY,3-4t,24.7425,32.99,0791249957001,COSTUMES,RASTA IMPOSTA,0,9570,,,,,,,
MINION JORGE TODDLER,MINION JORGE TODDLER,,BABY,TODDLER,22.4925,29.99,0883028418336,COSTUMES,RUBIE'S COSTUME CO.,0,884183,,,,,,,
BATMAN NEWBORN,BATMAN NEWBORN,,BABY,NEWBORN,14.9925,19.99,0883028530410,COSTUMES,RUBIE'S COSTUME CO.,0,885304,,,,,,,
DARTH VADER - TODDLER,DARTH VADER - TODDLER,,BABY,TODDLER,14.9925,19.99,0082686116091,COSTUMES,RUBIE'S COSTUME CO.,2,11609,,,,,,,
BATMAN INFANT,BATMAN INFANT,,BABY,INFANT,17.2425,22.99,0883028544226,COSTUMES,RUBIE'S COSTUME CO.,0,885442,,,,,,,
BAMM BAMM TODDLER,BAMM BAMM TODDLER,,BABY,TODDLER,22.4925,29.99,0082686116077,COSTUMES,RUBIE'S COSTUME CO.,0,11607,,,,,,,
CHEERLEADER CHAMP 2-4T,CHEERLEADER CHAMP 2-4T,,BABY,TODDLER,14.9925,19.99,0883028268832,COSTUMES,RUBIE'S COSTUME CO.,0,882688,,,,,,,
PUMPKIN PIE TODDLER,PUMPKIN PIE TODDLER,,BABY,TODDLER,11.9925,15.99,0883028523931,COSTUMES,RUBIE'S COSTUME CO.,3,885239,,,,,,,
SUPERMAN NEWBORN,SUPERMAN NEWBORN,,BABY,NEWBORN,20.99,27.99,0883028530113,COSTUMES,RUBIE'S COSTUME CO.,0,885301,,,,,,,
BATMAN - TODDLER,BATMAN - TODDLER,,BABY,TODDLER,16.4925,21.99,0883028579433,COSTUMES,RUBIE'S COSTUME CO.,-1,885794,,,,,,,
FUTURE GOLFER 3-4t,FUTURE GOLFER 3-4t,,BABY,3-4t,26.2425,34.99,0791249955809,COSTUMES,RASTA IMPOSTA,0,9558,,,,,,,
DORA 2-4T,DORA 2-4T,,BABY,2-4T,22.4925,29.99,0883028313235,COSTUMES,RUBIE'S COSTUME CO.,1,883132,,,,,,,
BATMAN - INFANT,BATMAN - INFANT,,BABY,INFANT,16.4925,21.99,0883028579426,COSTUMES,RUBIE'S COSTUME CO.,0,885794,,,,,,,
DARTH VADER INFANT,DARTH VADER INFANT,,BABY,INFANT,14.9925,19.99,0400000031811,COSTUMES,RUBIE'S COSTUME CO.,0,11609,,,,,,,
LIL' CUPCAKE 3-4,LIL' CUPCAKE 3-4,,BABY,3-4,26.2425,34.99,0809801722384,COSTUMES,AMSCAN,3,842899,,,,,,,
TRAIN ENGINEER 2T,TRAIN ENGINEER 2T,,BABY,2T,18.7425,24.99,0788677088865,COSTUMES,FUN WORLD,0,114891,,,,,,,
WITTLE WABBIT INFANT 12-18 MO,WITTLE WABBIT,,BABY,,22.4925,29.99,0809801731713,COSTUMES,AMSCAN,2,841575,,,,,,,
LITTLE DRAGON 2-3T,LITTLE DRAGON 2-3T,,BABY,2-3T,32.2425,42.99,0714718483757,COSTUMES,LEG AVENUE INC.,0,C28199,,,,,,,
BUZZ LIGHTYEAR 3-4,BUZZ LIGHTYEAR 3-4,,BABY,3-4,22.4925,29.99,0032692523055,COSTUMES,DISGUISE INC.,0,5230M,,,,,,,
POLICEMAN 3-4,POLICEMAN 3-4,,BABY,3-4,22.4925,29.99,0023168015273,COSTUMES,FUN WORLD,0,1527,,,,,,,
SULLY MED 3-4,SULLY MED 3-4,,BABY,3-4,24.7425,32.99,0039897587660,COSTUMES,DISGUISE INC.,0,58765M,,,,,,,
SWEETHEART MONSTER 3-4T,SWEETHEART MONSTER 3-4T,,BABY,3-4T,22.4925,29.99,0714718465197,COSTUMES,LEG AVENUE INC.,0,C28173,,,,,,,
PERFECT KITTY 12-18m,PERFECT KITTY 12-18m,,BABY,12-18m,22.4925,29.99,0039897135847,COSTUMES,DISGUISE INC.,0,13584W,,,,,,,
LIL' SHERIFF 2T,LIL' SHERIFF 2T,,BABY,2T,22.4925,29.99,0023168015648,COSTUMES,FUN WORLD,0,1564,,,,,,,
LIGHTING McQUEEN 3T-4T,LIGHTING McQUEEN 3T-4T,,BABY,3T-4T,20.9925,27.99,0032692639350,COSTUMES,DISGUISE INC.,0,6393M,,,,,,,
PRECIOUS PANDA 3-4T,PRECIOUS PANDA 3-4T,,BABY,3-4T,20.9925,27.99,0714718465234,COSTUMES,LEG AVENUE INC.,0,C28178,,,,,,,
LADY BUG INFANT,LADY BUG INFANT,,BABY,INFANT,18.7425,24.99,0023168096500,COSTUMES,FUN WORLD,0,9650,,,,,,,
TINKERBELL 3-4,TINKERBELL 3-4,,BABY,3-4,20.9925,27.99,0032692596554,COSTUMES,DISGUISE INC.,0,5965M,,,,,,,
TRAIN ENGINEER 3-4,TRAIN ENGINEER 3-4,,BABY,3-4,18.7425,24.99,0788677088872,COSTUMES,FUN WORLD,0,114891,,,,,,,
GIGGLING ELMO 2T,GIGGLING ELMO 2T,,BABY,2T,37.4925,49.99,0032692659242,COSTUMES,DISGUISE INC.,0,6592S,,,,,,,
LITTLE DRAGON 3-4T,LITTLE DRAGON 3-4T,,BABY,3-4T,32.2425,42.99,0714718483764,COSTUMES,LEG AVENUE INC.,0,C28199,,,,,,,
SULLY SM 2T,SULLY SM 2T,,BABY,2T,24.7425,32.99,0039897587653,COSTUMES,DISGUISE INC.,0,58765S,,,,,,,
PUMPKIN PIE 24m,PUMPKIN PIE 24m,,BABY,24m,14.9925,19.99,0023168096494,COSTUMES,FUN WORLD,5,9649,,,,,,,
CIRCUS CLOWN XS,CIRCUS CLOWN XS,,BABY,XS,29.9925,39.99,0714718438498,COSTUMES,LEG AVENUE INC.,0,C48153,,,,,,,
BALLERINA BEE 3-4,BALLERINA BEE 3-4,,BABY,3-4,22.4925,29.99,0809801722780,COSTUMES,AMSCAN,3,841853,,,,,,,
ABBY CADABBY 12-18m,ABBY CADABBY 12-18m,,BABY,12-18m,22.4925,29.99,0032692691419,COSTUMES,DISGUISE INC.,0,6914W,,,,,,,
LIL' SHERIFF 3-4T,LIL' SHERIFF 3-4T,,BABY,3-4T,22.4925,29.99,0023168215642,COSTUMES,FUN WORLD,0,1564,,,,,,,
MR POTATO HEAD 3-4,MR POTATO HEAD 3-4,,BABY,3-4,29.9925,39.99,0039897168081,COSTUMES,DISGUISE INC.,0,16807M,,,,,,,
SWEETHEART MONSTER 2-3T,SWEETHEART MONSTER 2-3T,,BABY,2-3T,22.4925,29.99,0714718465180,COSTUMES,LEG AVENUE INC.,0,C28173,,,,,,,
LIL' BUMBLE BEE 12-24m,LIL' BUMBLE BEE 12-24m,,BABY,12-24m,18.7425,24.99,0023168096531,COSTUMES,FUN WORLD,0,9653,,,,,,,
WINNIE THE POOH 12-18m,WINNIE THE POOH 12-18m,,BABY,12-18m,29.9925,39.99,0032692657910,COSTUMES,DISGUISE INC.,0,6579W,,,,,,,
TOOTSIE ROLL 3-9m,TOOTSIE ROLL 3-9m,,BABY,3-9m,20.9925,27.99,0079124900404,COSTUMES,FUN WORLD,0,4004,,,,,,,
GIGGLING ELMO 3-4,GIGGLING ELMO 3-4,,BABY,3-4,37.4925,49.99,0032692659259,COSTUMES,DISGUISE INC.,0,6592M,,,,,,,
PRECIOUS PANDA 2-3T,PRECIOUS PANDA 2-3T,,BABY,2-3T,20.9925,27.99,0714718465227,COSTUMES,LEG AVENUE INC.,0,C28178,,,,,,,
RAINBOW FAIRY INFANT 12-24 MO,RAINBOW FAIRY INFANT 12-24 MO,,BABY,,24.7425,32.99,0809801731430,COSTUMES,AMSCAN,2,841539,,,,,,,
BATMAN -  TODDLER,BATMAN TODDLER,,BABY,TODDLER,18.7425,24.99,0883028158935,COSTUMES,RUBIE'S COSTUME CO.,2,881589,,,,,,,
LITTLE LAMB INFANT 6-12 MO,LITTLE LAMB INFANT 6-12 MO,,BABY,,20.9925,27.99,0809801735346,COSTUMES,AMSCAN,2,842805,,,,,,,
LITTLE LEOPARD 3-4t,LITTLE LEOPARD 3-4t,,BABY,3-4T,28.49,37.99,0714718427577,COSTUMES,LEG AVENUE INC.,0,C48129,,,,,,,
OLAF 12-18months,OLAF 12-18months,,BABY,12-18months,41.2425,54.99,0039897852577,COSTUMES,DISGUISE INC.,0,84654W,,,,,,,
OLAF 3T-4T,OLAF 3T-4T,,BABY,3T-4T,29.99,39.99,0039897846545,COSTUMES,DISGUISE INC.,1,83176M,,,,,,,
OLAF 2T,OLAF 2T,,BABY,2T,41.2425,54.99,0039897846736,COSTUMES,DISGUISE INC.,0,84654S,,,,,,,
PRETTY KITTY 2-3T,PRETTY KITTY 2-3T,,BABY,2-3T,28.49,37.99,0714718510750,COSTUMES,LEG AVENUE INC.,1,C21033,,,,,,,
PRETTY KITTY 3T-4T,PRETTY KITTY 3T-4T,,BABY,3-4T,28.49,37.99,0714718510767,COSTUMES,LEG AVENUE INC.,2,C21033,,,,,,,
LAMBIE SM (2T),LAMBIE SM (2T),,BABY,SM 2T,29.99,39.99,0039897698113,COSTUMES,DISGUISE INC.,1,69808S,,,,,,,
LAMBIE SM 4T,LAMBIE SM 4T,,BABY,4T,29.99,39.99,0039897698106,COSTUMES,DISGUISE INC.,1,69808L,,,,,,,
LAMBIE  3T,LAMBIE  3T,,BABY,4T,29.99,39.99,0039897698083,COSTUMES,DISGUISE INC.,1,69808M,,,,,,,
BATMAN DARK KNIGHT TODDLER,BATMAN DARK KNIGHT TODDLER,,BABY,TODDLER,16.4925,21.99,0883028158928,COSTUMES,RUBIE'S COSTUME CO.,2,881589,,,,,,,
MICKEY MOUSE INFANT 12-18mo,MICKEY MOUSE INFANT 12-18mo,,BABY,12-18 mo.,28.49,37.99,0039897449616,COSTUMES,DISGUISE INC.,2,44960W,,,,,,,
RAPUNZEL CLASSIC 3-4T,RAPUNZEL CLASSIC 3-4T,,BABY,XS 3T-4T,24.74,32.99,0039897592008,COSTUMES,DISGUISE INC.,1,59200M,,,,,,,
LITTLE LINEBACKER 3-4t,LITTLE LINEBACKER 3-4t,,BABY,3-4T,11.24,14.99,0809801746786,COSTUMES,FORUM NOVELTIES INC,3,844278,,,,,,,
FIREMAN INFANT 0-6mo,FIREMAN INFANT 0-6mo,,BABY,INF 0-6,22.49,29.99,0809801771603,COSTUMES,AMSCAN,2,846818,,,,,,,
MISS MATCHED WITCH 3-4T,MISS MATCHED WITCH 3-4T,,BABY,3-4T,28.49,37.99,0809801736251,COSTUMES,FORUM NOVELTIES INC,3,842749,,,,,,,
CURIOUS GEORGE 4-6T,CURIOUS GEORGE 4-6T,,BABY,4-6T,20.99,27.99,0883028528653,COSTUMES,RUBIE'S COSTUME CO.,0,885286,,,,,,,
ELMO plush 3+,ELMO plush 3+,,BABY,3+,37.4925,49.99,0039897768762,COSTUMES,DISGUISE INC.,0,76876M,,,,,,,
CURIOUS GEORGE 2-4T,CURIOUS GEORGE 2-4T,,BABY,2-4t,20.99,27.99,0883028528639,COSTUMES,RUBIE'S COSTUME CO.,0,885286,,,,,,,
FOOTBALL PLAYER 0-9mo,FOOTBALL PLAYER 0-9mo,,baby,0-9 mp,20.24,26.99,0883028549405,COSTUMES,RUBIE'S COSTUME CO.,2,885494,,,,,,,
FIREMAN INFANT 12-24,FIREMAN INFANT 12-24,,BABY,INF 12-24,22.49,29.99,0809801762441,COSTUMES,AMSCAN,2,845903,,,,,,,
